time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
5,1522,6.565,4.348,17.757,5.793,6.209,6.829
10,1725,5.789,4.174,15.358,5.555,5.903,6.118
15,1765,5.665,4.143,15.402,5.005,5.779,6.040
20,1723,5.799,4.149,17.216,5.486,5.866,6.157
25,1747,5.721,4.182,17.564,5.463,5.829,6.077
30,1742,5.738,4.183,14.713,5.312,5.852,6.122
35,1736,5.752,4.210,15.374,5.459,5.840,6.067
40,1510,6.617,4.328,19.848,5.857,6.212,7.099
45,1501,6.659,4.302,22.455,5.763,6.163,6.918
50,1494,6.690,4.210,15.233,5.768,6.192,7.433
55,1744,5.729,4.221,15.450,5.417,5.821,6.054
