time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
5,14121,0.700,0.383,3.145,0.644,0.722,0.793
10,14059,0.703,0.387,4.988,0.642,0.730,0.793
15,13908,0.711,0.377,6.477,0.644,0.747,0.796
20,14092,0.701,0.380,6.037,0.630,0.731,0.793
25,14147,0.699,0.372,6.159,0.628,0.733,0.788
30,13951,0.709,0.378,6.140,0.629,0.739,0.795
35,13010,0.760,0.373,7.797,0.663,0.756,0.810
40,11842,0.834,0.373,7.446,0.700,0.790,0.876
45,13909,0.711,0.372,7.539,0.621,0.738,0.796
50,14086,0.702,0.372,6.386,0.590,0.734,0.792
55,13606,0.726,0.394,5.883,0.657,0.766,0.800
60,13800,0.716,0.381,6.417,0.657,0.742,0.797
