time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
5,3639,2.746,1.575,53.715,1.933,2.509,2.940
10,3926,2.544,1.575,15.648,1.920,2.448,2.882
15,3913,2.554,1.569,21.540,1.922,2.456,2.906
20,3984,2.508,1.580,11.323,1.899,2.430,2.858
25,3859,2.591,1.587,20.012,1.927,2.474,2.901
30,3983,2.510,1.579,11.708,1.898,2.434,2.835
35,4003,2.490,1.566,11.996,1.906,2.433,2.843
40,3684,2.719,1.586,222.784,1.942,2.488,2.938
45,3989,2.505,1.584,14.681,1.923,2.416,2.852
50,3986,2.509,1.584,20.276,1.911,2.444,2.861
55,3944,2.533,1.589,30.677,1.930,2.476,2.873
