time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
5,6283,1.577,0.527,7.925,1.043,1.343,2.004
10,6456,1.534,0.562,9.070,1.043,1.337,1.886
15,6766,1.465,0.543,5.765,0.985,1.223,1.819
20,6658,1.488,0.570,5.970,0.996,1.225,1.859
25,7640,1.297,0.560,5.237,0.902,1.101,1.459
30,6264,1.582,0.556,6.595,1.024,1.352,2.077
35,5949,1.668,0.542,7.097,1.056,1.472,2.206
40,6574,1.509,0.581,8.497,1.018,1.298,1.807
45,6436,1.541,0.536,10.891,1.016,1.351,1.933
50,6664,1.488,0.551,8.448,1.007,1.286,1.835
55,6557,1.513,0.567,8.041,1.001,1.289,1.877
60,6843,1.449,0.529,6.081,0.968,1.217,1.804
